GX7AS,"Google Pixel 6a (Chalk, 128 GB)  (6 GB RAM)",Chalk,6 GB,128 GB,12.2MP + 12MP,8MP Front Camera,15.6 cm (6.14 inch),4410 mAh,"₹32,999",https://www.flipkart.com/google-pixel-6a-chalk-128-gb/p/itme5ae89135d44e?pid=MOBGFWEZ5SKU84Z8&lid=LSTMOBGFWEZ5SKU84Z8FXPB45&marketplace=FLIPKART&q=google+phones&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=12f29ae1-8e61-4db0-9df4-2204df1967fe.MOBGFWEZ5SKU84Z8.SEARCH&ppt=hp&ppn=homepage&ssid=eqkl05ede80000001677649694707&qH=4faa58b4bdec5f4f
GX7AS,"Google Pixel 6a (Charcoal, 128 GB)  (6 GB RAM)",Charcoal,6 GB,128 GB,12.2MP + 12MP,8MP Front Camera,15.6 cm (6.14 inch),4410 mAh,"₹32,999",https://www.flipkart.com/google-pixel-6a-charcoal-128-gb/p/itme5ae89135d44e?pid=MOBGFKX5YUXD74Z3&lid=LSTMOBGFKX5YUXD74Z3MXA2OB&marketplace=FLIPKART&q=google+phones&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=12f29ae1-8e61-4db0-9df4-2204df1967fe.MOBGFKX5YUXD74Z3.SEARCH&ppt=hp&ppn=homepage&ssid=eqkl05ede80000001677649694707&qH=4faa58b4bdec5f4f
GVU6C,"Google Pixel 7 (Lemongrass, 128 GB)  (8 GB RAM)",Lemongrass,8 GB,128 GB,50MP + 12MP,10.8MP Front Camera,16.0 cm (6.3 inch),4270 mAh,-,https://www.flipkart.com/google-pixel-7-lemongrass-128-gb/p/itm45d75002be0e7?pid=MOBGHW44ZSN5EPGU&lid=LSTMOBGHW44ZSN5EPGUVDQE3A&marketplace=FLIPKART&q=google+phones&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=12f29ae1-8e61-4db0-9df4-2204df1967fe.MOBGHW44ZSN5EPGU.SEARCH&ppt=hp&ppn=homepage&ssid=eqkl05ede80000001677649694707&qH=4faa58b4bdec5f4f
GP4BC,"Google Pixel 7 Pro (Snow, 128 GB)  (12 GB RAM)",Snow,12 GB,128 GB,50MP + 48MP + 12MP,10.8MP Front Camera,17.02 cm (6.7 inch),4926 mAh,-,https://www.flipkart.com/google-pixel-7-pro-snow-128-gb/p/itmb74dc5c3b3eb5?pid=MOBGHW44HHEMNGHW&lid=LSTMOBGHW44HHEMNGHWSCSMWJ&marketplace=FLIPKART&q=google+phones&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=12f29ae1-8e61-4db0-9df4-2204df1967fe.MOBGHW44HHEMNGHW.SEARCH&ppt=hp&ppn=homepage&ssid=eqkl05ede80000001677649694707&qH=4faa58b4bdec5f4f
GP4BC,"Google Pixel 7 Pro (Obsidian, 128 GB)  (12 GB RAM)",Obsidian,12 GB,128 GB,50MP + 48MP + 12MP,10.8MP Front Camera,17.02 cm (6.7 inch),4926 mAh,-,https://www.flipkart.com/google-pixel-7-pro-obsidian-128-gb/p/itmb74dc5c3b3eb5?pid=MOBGHW44NRFHVRZY&lid=LSTMOBGHW44NRFHVRZYZBL0DS&marketplace=FLIPKART&q=google+phones&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=12f29ae1-8e61-4db0-9df4-2204df1967fe.MOBGHW44NRFHVRZY.SEARCH&ppt=hp&ppn=homepage&ssid=eqkl05ede80000001677649694707&qH=4faa58b4bdec5f4f
GP4BC,"Google Pixel 7 Pro (Hazel, 128 GB)  (12 GB RAM)",Hazel,12 GB,128 GB,50MP + 48MP + 12MP,10.8MP Front Camera,17.02 cm (6.7 inch),4926 mAh,-,https://www.flipkart.com/google-pixel-7-pro-hazel-128-gb/p/itmb74dc5c3b3eb5?pid=MOBGHW44Z6UPBQ9K&lid=LSTMOBGHW44Z6UPBQ9K6DNRGK&marketplace=FLIPKART&q=google+phones&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=12f29ae1-8e61-4db0-9df4-2204df1967fe.MOBGHW44Z6UPBQ9K.SEARCH&ppt=hp&ppn=homepage&ssid=eqkl05ede80000001677649694707&qH=4faa58b4bdec5f4f
GVU6C,"Google Pixel 7 (Obsidian, 128 GB)  (8 GB RAM)",Obsidian,8 GB,128 GB,50MP + 12MP,10.8MP Front Camera,16.0 cm (6.3 inch),4270 mAh,-,https://www.flipkart.com/google-pixel-7-obsidian-128-gb/p/itm45d75002be0e7?pid=MOBGHW44NHFZJN6N&lid=LSTMOBGHW44NHFZJN6NICUEYB&marketplace=FLIPKART&q=google+phones&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=12f29ae1-8e61-4db0-9df4-2204df1967fe.MOBGHW44NHFZJN6N.SEARCH&ppt=hp&ppn=homepage&ssid=eqkl05ede80000001677649694707&qH=4faa58b4bdec5f4f
GVU6C,"Google Pixel 7 (Snow, 128 GB)  (8 GB RAM)",Snow,8 GB,128 GB,50MP + 12MP,10.8MP Front Camera,16.0 cm (6.3 inch),4270 mAh,-,https://www.flipkart.com/google-pixel-7-snow-128-gb/p/itm45d75002be0e7?pid=MOBGHW44PRZ8WP2M&lid=LSTMOBGHW44PRZ8WP2MEGIXNO&marketplace=FLIPKART&q=google+phones&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=12f29ae1-8e61-4db0-9df4-2204df1967fe.MOBGHW44PRZ8WP2M.SEARCH&ppt=hp&ppn=homepage&ssid=eqkl05ede80000001677649694707&qH=4faa58b4bdec5f4f
-,"Google Pixel 4a (Just Black, 128 GB)  (6 GB RAM)",-,-,-,-,-,-,-,-,https://www.flipkart.com/google-pixel-4a-just-black-128-gb/p/itm023b9677aa45d?pid=MOBFUSBNAZGY7HQU&lid=LSTMOBFUSBNAZGY7HQUWHTF0C&marketplace=FLIPKART&q=google+phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=12f29ae1-8e61-4db0-9df4-2204df1967fe.MOBFUSBNAZGY7HQU.SEARCH&ppt=hp&ppn=homepage&ssid=eqkl05ede80000001677649694707&qH=4faa58b4bdec5f4f
-,"Google Pixel 3a (Clearly White, 64 GB)  (4 GB RAM)",-,-,-,-,-,-,-,-,https://www.flipkart.com/google-pixel-3a-clearly-white-64-gb/p/itmfgk4jfgstaack?pid=MOBFFGFPJSCEXMSG&lid=LSTMOBFFGFPJSCEXMSGODGRZE&marketplace=FLIPKART&q=google+phones&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=12f29ae1-8e61-4db0-9df4-2204df1967fe.MOBFFGFPJSCEXMSG.SEARCH&ppt=hp&ppn=homepage&ssid=eqkl05ede80000001677649694707&qH=4faa58b4bdec5f4f
-,"Google Pixel XL (Very Silver, 128 GB)  (4 GB RAM)",-,-,-,-,-,-,-,-,https://www.flipkart.com/google-pixel-xl-very-silver-128-gb/p/itmemv9sqpzhg24z?pid=MOBEMV9SHHNRGNTJ&lid=LSTMOBEMV9SHHNRGNTJQIREJB&marketplace=FLIPKART&q=google+phones&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=12f29ae1-8e61-4db0-9df4-2204df1967fe.MOBEMV9SHHNRGNTJ.SEARCH&ppt=hp&ppn=homepage&ssid=eqkl05ede80000001677649694707&qH=4faa58b4bdec5f4f
-,"Google Pixel 2 (Just Black, 64 GB)  (4 GB RAM)",-,-,-,-,-,-,-,-,https://www.flipkart.com/google-pixel-2-just-black-64-gb/p/itmfffkj2aggphym?pid=MOBEYEQGRSSNFFMD&lid=LSTMOBEYEQGRSSNFFMD7UJBHP&marketplace=FLIPKART&q=google+phones&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=12f29ae1-8e61-4db0-9df4-2204df1967fe.MOBEYEQGRSSNFFMD.SEARCH&ppt=hp&ppn=homepage&ssid=eqkl05ede80000001677649694707&qH=4faa58b4bdec5f4f
-,"Google Pixel 2 (Kinda Blue, 64 GB)  (4 GB RAM)",-,-,-,-,-,-,-,-,https://www.flipkart.com/google-pixel-2-kinda-blue-64-gb/p/itmfyk7eyhkvuuup?pid=MOBEYEQGPKEKMB2B&lid=LSTMOBEYEQGPKEKMB2BFAYDEI&marketplace=FLIPKART&q=google+phones&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=12f29ae1-8e61-4db0-9df4-2204df1967fe.MOBEYEQGPKEKMB2B.SEARCH&ppt=hp&ppn=homepage&ssid=eqkl05ede80000001677649694707&qH=4faa58b4bdec5f4f
-,"Google Pixel XL (Very Silver, 32 GB)  (4 GB RAM)",-,-,-,-,-,-,-,-,https://www.flipkart.com/google-pixel-xl-very-silver-32-gb/p/itmemv9sfsag3nty?pid=MOBEMV9S4Y2PECHY&lid=LSTMOBEMV9S4Y2PECHYCSDQSA&marketplace=FLIPKART&q=google+phones&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=12f29ae1-8e61-4db0-9df4-2204df1967fe.MOBEMV9S4Y2PECHY.SEARCH&ppt=hp&ppn=homepage&ssid=eqkl05ede80000001677649694707&qH=4faa58b4bdec5f4f
-,"Google Pixel 2 XL (Just Black, 128 GB)  (4 GB RAM)",-,-,-,-,-,-,-,-,https://www.flipkart.com/google-pixel-2-xl-just-black-128-gb/p/itmeyeqgwsggvybz?pid=MOBEYEQGDYPYWHJG&lid=LSTMOBEYEQGDYPYWHJGYP3GRX&marketplace=FLIPKART&q=google+phones&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=12f29ae1-8e61-4db0-9df4-2204df1967fe.MOBEYEQGDYPYWHJG.SEARCH&ppt=hp&ppn=homepage&ssid=eqkl05ede80000001677649694707&qH=4faa58b4bdec5f4f
-,"Google Pixel XL (Quite Black, 32 GB)  (4 GB RAM)",-,-,-,-,-,-,-,-,https://www.flipkart.com/google-pixel-xl-quite-black-32-gb/p/itmemv9svs7smgd3?pid=MOBEMV9SF9MFFYFE&lid=LSTMOBEMV9SF9MFFYFEMSM2IX&marketplace=FLIPKART&q=google+phones&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=12f29ae1-8e61-4db0-9df4-2204df1967fe.MOBEMV9SF9MFFYFE.SEARCH&ppt=hp&ppn=homepage&ssid=eqkl05ede80000001677649694707&qH=4faa58b4bdec5f4f
-,"Google Pixel 2 XL (Black & White, 64 GB)  (4 GB RAM)",-,-,-,-,-,-,-,-,https://www.flipkart.com/google-pixel-2-xl-black-white-64-gb/p/itmfykvdsnce77xt?pid=MOBEYEQGY9UYAHJ5&lid=LSTMOBEYEQGY9UYAHJ59U21UY&marketplace=FLIPKART&q=google+phones&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=12f29ae1-8e61-4db0-9df4-2204df1967fe.MOBEYEQGY9UYAHJ5.SEARCH&ppt=hp&ppn=homepage&ssid=eqkl05ede80000001677649694707&qH=4faa58b4bdec5f4f
-,"Google Pixel XL (Quite Black, 128 GB)  (4 GB RAM)",-,-,-,-,-,-,-,-,https://www.flipkart.com/google-pixel-xl-quite-black-128-gb/p/itmemv9stt7mvuef?pid=MOBEMV9REASZ5BZY&lid=LSTMOBEMV9REASZ5BZYZU3J5Y&marketplace=FLIPKART&q=google+phones&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=12f29ae1-8e61-4db0-9df4-2204df1967fe.MOBEMV9REASZ5BZY.SEARCH&ppt=hp&ppn=homepage&ssid=eqkl05ede80000001677649694707&qH=4faa58b4bdec5f4f
-,"Google Pixel 3a XL (Just Black, 64 GB)  (4 GB RAM)",-,-,-,-,-,-,-,-,https://www.flipkart.com/google-pixel-3a-xl-just-black-64-gb/p/itmfgk4krqbuzh59?pid=MOBFFGFPEHNKHBZM&lid=LSTMOBFFGFPEHNKHBZMJCUZKT&marketplace=FLIPKART&q=google+phones&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=12f29ae1-8e61-4db0-9df4-2204df1967fe.MOBFFGFPEHNKHBZM.SEARCH&ppt=hp&ppn=homepage&ssid=eqkl05ede80000001677649694707&qH=4faa58b4bdec5f4f
-,"Google Pixel 3a XL (Clearly White, 64 GB)  (4 GB RAM)",-,-,-,-,-,-,-,-,https://www.flipkart.com/google-pixel-3a-xl-clearly-white-64-gb/p/itmfgk4krqbuzh59?pid=MOBFFGFPTA6MCSRW&lid=LSTMOBFFGFPTA6MCSRWQQKLEZ&marketplace=FLIPKART&q=google+phones&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=12f29ae1-8e61-4db0-9df4-2204df1967fe.MOBFFGFPTA6MCSRW.SEARCH&ppt=hp&ppn=homepage&ssid=eqkl05ede80000001677649694707&qH=4faa58b4bdec5f4f
-,"Google Pixel 2 (Just Black, 128 GB)  (4 GB RAM)",-,-,-,-,-,-,-,-,https://www.flipkart.com/google-pixel-2-just-black-128-gb/p/itmfyg8hgsdmbqmr?pid=MOBEYEQGVN5G8YGE&lid=LSTMOBEYEQGVN5G8YGER7CBLY&marketplace=FLIPKART&q=google+phones&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=12f29ae1-8e61-4db0-9df4-2204df1967fe.MOBEYEQGVN5G8YGE.SEARCH&ppt=hp&ppn=homepage&ssid=eqkl05ede80000001677649694707&qH=4faa58b4bdec5f4f
-,"Google Pixel 2 (Clearly White, 128 GB)  (4 GB RAM)",-,-,-,-,-,-,-,-,https://www.flipkart.com/google-pixel-2-clearly-white-128-gb/p/itmfyg8hgsdmbqmr?pid=MOBEYEQGTZRFWND5&lid=LSTMOBEYEQGTZRFWND56UBN6Q&marketplace=FLIPKART&q=google+phones&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=12f29ae1-8e61-4db0-9df4-2204df1967fe.MOBEYEQGTZRFWND5.SEARCH&ppt=hp&ppn=homepage&ssid=eqkl05ede80000001677649694707&qH=4faa58b4bdec5f4f
-,"Google Pixel 3a (Just Black, 64 GB)  (4 GB RAM)",-,-,-,-,-,-,-,-,https://www.flipkart.com/google-pixel-3a-just-black-64-gb/p/itmfgk4jfgstaack?pid=MOBFFGFP7UHHJUZU&lid=LSTMOBFFGFP7UHHJUZUW7182D&marketplace=FLIPKART&q=google+phones&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=12f29ae1-8e61-4db0-9df4-2204df1967fe.MOBFFGFP7UHHJUZU.SEARCH&ppt=hp&ppn=homepage&ssid=eqkl05ede80000001677649694707&qH=4faa58b4bdec5f4f
-,"Google Pixel 3 XL (Clearly White, 64 GB)  (4 GB RAM)",-,-,-,-,-,-,-,-,https://www.flipkart.com/google-pixel-3-xl-clearly-white-64-gb/p/itmfefgvxq82gm5g?pid=MOBF9GAPG9RWM3XH&lid=LSTMOBF9GAPG9RWM3XHN7XMPC&marketplace=FLIPKART&q=google+phones&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=12f29ae1-8e61-4db0-9df4-2204df1967fe.MOBF9GAPG9RWM3XH.SEARCH&ppt=hp&ppn=homepage&ssid=eqkl05ede80000001677649694707&qH=4faa58b4bdec5f4f
